date,gameVersion
2020-04-21,109318973
2020-04-20,1093179200
2020-04-20,1093179188
2020-04-18,1093178173
2020-04-15,1093173399
2020-04-18,1083178137
2020-04-16,1083173760
2020-04-13,1083167651
2020-04-15,1083167615
2020-04-10,1083166819
2020-04-08,1083165180
2020-04-09,1083165169
2020-04-08,1083163242
2020-04-07,1083161495
2020-04-03,1083159649
2020-04-05,1083159629
2020-04-02,1083156258
2020-04-02,1083156245
2020-04-01,1083154535
2020-04-01,1083154504
2020-04-06,1073158562
2020-04-02,1073157487
2020-03-28,1073149802
2020-03-27,1073148504
2020-03-25,1073147327
2020-03-25,1073145230
2020-03-24,1073143154
2020-03-24,1073143014
2020-03-20,1073139586
2020-03-20,1073139573
2020-03-19,1073138306
2020-03-18,1073136977
2020-03-17,1073135141
2020-03-25,1063144405
2020-03-21,106314875
2020-03-20,106314320
2020-03-19,1063138894
2020-03-24,1063136238
2020-03-18,1063132784
2020-03-13,1063131163
2020-03-20,106313899
2020-03-12,1063129339
2020-03-11,1063127422
2020-03-11,1063125755
2020-03-11,1063125679
2020-03-09,1063122637
2020-03-09,1063122635
2020-03-06,1063119698
2020-03-06,1063119681
2020-03-05,1063117185
2020-03-04,1063115137
2020-03-03,1063113110
2020-03-03,1063113070
2020-03-13,1053129259
2020-03-12,1053126426
2020-03-10,105312392
2020-03-06,1053118183
2020-03-06,1053116095
2020-03-05,1053113857
2020-03-04,105311166
2020-02-28,1053108711
2020-02-28,1053106021
2020-02-27,1053104477
2020-02-25,1053102140
2020-02-25,1053099805
2020-02-22,1053097943
2020-02-22,1053097916
2020-02-21,1053097128
2020-02-21,1053095518
2020-02-21,1053095483
2020-02-19,1053093008
2020-02-20,1053092987
2020-02-28,1043107152
2020-02-26,1043102860
2020-02-25,1043093939
2020-02-15,1043089400
2020-02-14,1043087740
2020-02-12,1043083506
2020-02-12,1043083494
2020-02-05,1043072477
2020-02-05,1043072461
2020-02-10,1033077898
2020-02-04,1033071028
2020-02-01,1033068904
2020-02-01,1033067231
2020-01-29,1033064404
2020-01-28,103306829
2020-01-24,1033057246
2020-01-23,1033055525
2020-01-30,1023063223
2020-01-24,1023057988
2020-01-23,1023054739
2020-01-18,1023051444
2020-01-17,1023048510
2020-01-15,1023045586
2020-01-14,1023044005
2020-01-14,1023043984
2020-01-10,1023041833
2020-01-09,102304289
2020-01-09,1023038855
2020-01-09,1023038839
2020-01-08,1023037202
2020-01-19,1013047100
2020-01-14,1013043064
2020-01-10,1013039910
2020-01-09,1013039385
2020-01-07,1013036554
2020-01-17,1013035784
2020-01-09,1013031599
2019-12-21,101303464
2019-12-20,101303290
2019-12-19,1013024165
2019-12-19,1013022440
2019-12-18,101302399
2019-12-17,1013018176
2019-12-13,1013015080
2019-12-13,1013014039
2019-12-12,1013011721
2019-12-19,9243021397
2019-12-14,9243016252
2019-12-13,9243014052
2019-12-15,9243012721
2019-12-07,9243006382
2019-12-06,9243002455
2019-12-04,9243001084
2019-12-04,9243001066
2019-12-04,9242999251
2019-12-04,9242999220
2019-12-03,9242997368
2019-11-28,9242995170
2019-11-27,9242993973
2019-12-05,923300491
2019-12-03,9232997919
2019-12-05,9232995573
2019-11-29,9232994092
2019-11-27,9232993089
2019-11-21,9232988052
2019-11-23,9232986855
2019-11-21,9232986432
2019-11-21,9232985416
2019-11-19,9232983143
2019-11-16,923298209
2019-11-15,9232977689
2019-11-12,9232972327
2019-11-13,9232972310
2019-11-10,9232969736
2019-11-11,9232969728
2019-11-08,9232967873
2019-11-07,9232966551
2019-11-06,9232964757
2019-11-13,9222974763
2019-11-12,9222973335
2019-11-06,9222963722
2019-11-02,9222961221
2019-11-01,922296402
2019-10-31,9222957017
2019-10-30,9222955388
2019-10-30,9222955359
2019-10-25,9222948343
2019-10-26,9222948337
2019-10-25,9222945954
2019-10-24,9222943737
2019-10-23,9222943734
2019-10-22,9222941732
2019-10-22,9222941693
2019-10-23,921294813
2019-10-19,9212939040
2019-10-23,9212938573
2019-10-17,9212935582
2019-10-16,9212934011
2019-10-16,9212933723
2019-10-16,9212933699
2019-10-15,921293913
2019-10-12,9212928971
2019-10-23,9212927229
2019-10-09,9212923479
2019-10-09,9212923019
2019-10-11,9202928264
2019-11-05,9202923890
2019-10-11,9202922452
2019-10-06,920292351
2019-10-03,9202917868
2019-10-02,9202914713
2019-10-01,9202912927
2019-10-01,9202912916
2019-09-27,920291984
2019-09-27,920291491
2019-09-28,9202908251
2019-09-26,9202907567
2019-09-25,9202907446
2019-09-25,9202906866
2019-09-27,9192908808
2019-09-26,9192907765
2019-09-25,9192906835
2019-09-24,9192904926
